id,Latitude,Longitude,Temperature,Salinity,Pressure,Time,argo_id,Cycle
450,41.446,164.368,2.59,34.454,1300.9,,1,4.0
451,41.446,164.368,2.538,34.464,1349.6,,1,4.0
452,41.446,164.368,2.454,34.48,1400.1,,1,4.0
453,41.446,164.368,2.401,34.491,1449.8,,1,4.0
454,41.446,164.368,2.36,34.499,1501.1,,1,4.0
455,41.446,164.368,2.303,34.511,1549.8,,1,4.0
456,41.446,164.368,2.257,34.52,1600.0,,1,4.0
457,41.446,164.368,2.209,34.528,1649.9,,1,4.0
458,41.446,164.368,2.173,34.536,1699.9,,1,4.0
459,41.446,164.368,2.121,34.543,1750.7,,1,4.0
460,41.446,164.368,2.085,34.552,1799.8,,1,4.0
461,41.446,164.368,2.054,34.559,1850.6,,1,4.0
462,41.446,164.368,2.025,34.564,1900.0,,1,4.0
463,41.446,164.368,1.987,34.572,1950.9,,1,4.0
464,41.446,164.368,1.957,34.578,1999.8,,1,4.0
465,41.588,164.992,22.447,33.965,1.3,,1,5.0
466,41.588,164.992,22.434,33.972,5.9,,1,5.0
467,41.588,164.992,22.475,34.005,10.8,,1,5.0
468,41.588,164.992,22.51,34.124,15.7,,1,5.0
469,41.588,164.992,20.854,34.085,21.5,,1,5.0
470,41.588,164.992,16.086,34.041,25.9,,1,5.0
471,41.588,164.992,13.995,34.256,30.6,,1,5.0
